"avgvelocity_x","avgvelocity_y","avgvelocity_z","gesture"
"142.66396","-17.200752","82.34133","c"
"4.5492654","-1.2406553","26.929174","c"
"-179.9239","-27.26356","-117.27633","c"
"-156.07642","-9.086153","21.740362","c"
"54.13234","-3.3160536","138.81541","c"
"182.49913","22.119883","26.772669","c"
"156.83614","38.671757","-125.06186","c"
"-25.963865","-47.070194","-225.09993","c"
"-169.42064","-67.54568","-119.15417","c"
"-271.97736","31.674086","123.648834","c"
"12.041326","28.456232","137.4705","c"
"216.43233","23.974531","168.32872","c"
"303.85294","28.259789","-7.0230994","c"
"81.30898","-19.497618","-155.05525","c"
"-66.18585","-35.04648","-98.29182","c"
"20.036432","-54.86394","233.9049","c"
"-152.39201","-75.750916","256.37924","c"
"-237.68324","-7.5610833","-10.94167","c"
"-120.95203","41.65153","-145.68105","c"
"23.204771","47.366135","-53.157024","c"
"67.052605","30.863943","-13.167691","c"
"68.170845","48.74657","-62.099182","c"
"55.258343","56.06531","-108.46078","c"
"51.882946","50.93507","-92.10153","c"
"144.93767","67.84061","-42.489502","c"
"247.91383","4.94532","65.340385","c"
"123.9505","-37.984417","273.35098","c"
"-77.79996","-85.04061","252.00447","c"
"-211.53288","-70.64435","5.6878905","c"
"-238.42938","-23.529884","-105.82645","c"
"-155.25262","28.853216","-158.30797","c"
"-85.49673","45.593517","-243.68353","c"
"172.77051","-12.661903","-103.030235","c"
"239.61658","-18.903885","22.951635","c"
"222.49284","22.050827","-21.480928","c"
"174.0733","97.48667","-32.02833","c"
"125.45636","82.368454","-17.274385","c"
"126.3703","38.82234","71.1217","c"
"18.193354","-37.19809","208.93195","c"
"-205.18657","-106.68787","110.49509","c"
"-164.38521","-1.5458285","-142.50317","c"
"-69.03039","28.241484","-254.94373","c"
"2.162999","41.426666","-281.21423","c"
"40.27115","27.966585","-241.23767","c"
"-45.82555","22.944433","-136.55524","c"
"-163.13716","35.711647","-53.685497","c"
"-220.96532","16.18583","71.42181","c"
"-67.98347","-8.013806","120.672035","c"
"179.55806","-24.836031","86.243835","c"
"247.48418","-36.524857","115.49076","c"
"184.82137","-45.504345","191.18103","c"
"20.975002","-86.06551","211.51344","c"
"-104.388374","-72.75327","122.565796","c"
"-72.91357","-13.633011","-37.136","c"
"-173.8363","-55.596416","17.843046","c"
"-273.07422","-51.58789","84.23966","c"
"-52.394577","29.561262","-157.04309","c"
"10.147158","50.25641","-264.11203","c"
"64.31457","8.887783","-122.711494","c"
"154.62047","-17.482018","-11.8268","c"
"203.88069","-19.44591","65.90328","c"
"204.8437","35.2941","110.969505","c"
"162.15227","32.795185","120.910614","c"
"79.79342","10.143153","73.32894","c"
"-38.48629","-31.921766","118.62708","c"
"-108.73684","-12.55964","-23.92653","c"
"-87.33152","7.1941414","-140.88521","c"
"-1.0965105","14.703551","-156.98111","c"
"14.061315","8.943921","-125.541435","c"
"-46.557507","13.108162","-73.83102","c"
"-115.50977","-17.963434","-19.633802","c"
"-38.508358","4.189132","82.29618","c"
"6.9217725","0.9466276","154.40034","c"
"20.75258","-39.318684","176.44829","c"
"74.74044","-43.433155","161.90974","c"
"151.81761","-22.247522","40.684254","c"
"150.94328","-11.500279","11.224132","c"
"170.08092","45.720417","-4.323857","c"
"136.9977","50.62678","-23.886208","c"
"54.769955","57.298218","-11.75221","c"
"9.631591","54.07193","-68.81737","c"
"-15.018865","16.074926","-68.61747","c"
"-28.879515","-11.749669","-29.18036","c"
"-27.76944","-1.4066578","-73.67148","c"
"-60.66722","-35.59102","-68.11394","c"
"-60.310963","-15.375812","-52.25583","c"
"-83.29279","0.28807893","-37.710526","c"
"-126.57687","6.9974","0.25865555","c"
"-142.42023","18.047663","30.801094","c"
"-69.798904","20.124878","47.170635","c"
"-3.6695879","4.4822297","10.189377","c"
"12.613823","-9.007363","0.02289772","c"
"52.773632","3.8217404","117.32296","c"
"-80.33077","-13.895435","116.962425","c"
"-105.52845","-30.981253","-58.08972","c"
"-45.411453","30.366716","-100.48144","c"
"-35.33775","32.73512","-37.154102","c"
"-28.468508","9.175084","0.7048066","c"
"-13.653817","-1.1579413","-2.2652862","d"
"-158.12708","-20.998102","-10.363112","d"
"-173.45221","-3.21889","-5.82042","d"
"-50.136658","-4.2067256","121.0581","d"
"94.133","-60.650925","112.409546","d"
"223.75285","-11.785759","-3.0980976","d"
"165.90704","3.2601345","-163.73802","d"
"16.913218","19.377005","-159.05148","d"
"-172.84863","-45.35738","-82.86893","d"
"-153.72392","8.771041","-30.269072","d"
"-155.64919","54.56572","96.449524","d"
"19.61638","45.53125","-37.301384","d"
"203.6399","76.34524","-135.72336","d"
"186.32295","23.292997","24.289793","d"
"179.43433","-32.537292","143.58022","d"
"209.54195","-29.377028","81.2084","d"
"-109.20398","10.339835","115.1831","d"
"-324.94357","-32.058125","195.65466","d"
"-85.91869","-10.545841","-58.349697","d"
"-160.08954","59.776226","-133.04631","d"
"-10.417595","87.08334","-118.825836","d"
"160.22853","99.94161","-135.60588","d"
"-100.49905","11.39058","4.329264","d"
"-41.593487","5.4554534","73.58419","d"
"181.59155","-12.050324","69.28535","d"
"198.01122","-98.57943","43.05698","d"
"-42.406864","-62.83739","-34.061375","d"
"-216.45204","26.098654","-0.31274447","d"
"-113.28177","33.067097","-127.115944","d"
"116.88642","139.87598","-114.84347","d"
"60.39346","206.4762","147.8831","d"
"34.321228","168.30173","165.02434","d"
"33.672516","-42.474712","110.386635","d"
"4.549235","-79.38946","96.839294","d"
"-60.05849","25.748856","11.490079","d"
"-93.2615","46.46471","-59.922947","d"
"-110.53486","86.987854","-104.93595","d"
"-54.820923","174.91675","-163.36267","d"
"79.7178","150.55486","-182.10005","d"
"237.25856","62.693447","-33.777885","d"
"286.85074","23.061607","74.33853","d"
"171.8786","-81.585266","228.65096","d"
"-41.134785","-153.05054","276.62277","d"
"-126.02718","-144.10768","118.87488","d"
"-106.20231","-151.77464","-76.4747","d"
"-24.871096","-179.35938","-170.46878","d"
"51.629017","-137.14163","-157.4273","d"
"20.390457","-108.55307","-132.06824","d"
"-236.7141","-175.12756","49.506454","d"
"-279.22775","-42.394817","38.86836","d"
"-23.286741","98.214294","-121.81365","d"
"260.81674","113.90845","-134.84929","d"
"336.55334","139.62567","26.418283","d"
"159.75789","171.86719","-65.423454","d"
"-78.201","244.31844","-116.815125","d"
"-287.7967","281.61893","69.85145","d"
"-342.11502","166.33012","211.34009","d"
"-259.09058","-90.199486","183.33281","d"
"-95.91036","-249.61601","141.41675","d"
"131.74365","-214.86934","45.977505","d"
"316.3882","-79.77128","-81.99166","d"
"326.38226","-87.994995","-61.06123","d"
"277.23215","7.0241294","-19.602575","d"
"103.26358","15.144914","2.8656933","d"
"-81.96933","55.94018","-30.634882","d"
"-97.230225","167.2672","-119.416985","d"
"-119.07835","191.86","-116.13931","d"
"-150.45671","119.36045","25.659658","d"
"-139.26317","-2.3671138","85.69309","d"
"-48.93452","-18.102808","25.763113","d"
"15.676434","-26.058828","0.47335863","d"
"25.859917","-14.823803","1.9801751","d"
"6.74338","-3.6605148","1.1983274","d"
"-6.0828304","6.0661025","2.740654","d"
"-1.7957431","1.003159","-0.54882574","d"
"1.1413559","-2.0163565","1.9288429","d"
"-10.953435","4.1716714","6.826342","d"
"-13.23762","2.6283128","7.3340354","d"
"-12.768825","4.7122836","13.789548","d"
"-6.794004","4.125096","4.7244897","d"
"1.829985","-6.9772162","-2.710596","d"
"1.8666196","11.040802","5.673828","d"
"4.9108424","10.729945","8.603152","e"
"6.055462","-24.333128","39.436146","e"
"55.237885","-71.89514","62.516956","e"
"24.46347","-59.08905","20.668287","e"
"-102.65206","-35.93102","5.370894","e"
"-147.76503","-65.01794","-22.396774","e"
"-75.58011","13.449279","-86.39383","e"
"23.888681","46.01382","-58.487427","e"
"113.154335","4.632386","27.25823","e"
"133.60872","-40.837433","82.17241","e"
"-43.067535","-83.677986","78.3681","e"
"-188.6429","-24.538858","-23.89383","e"
"-172.62642","99.61605","-97.965645","e"
"-115.2461","109.54702","-139.28366","e"
"0.94884616","78.18524","-134.60594","e"
"169.47685","62.157825","-51.004215","e"
"250.12459","20.979055","105.81525","e"
"142.45483","-2.597992","174.54674","e"
"-127.88757","-103.95459","106.93186","e"
"-272.02103","-95.25379","-7.0328383","e"
"-226.88582","-23.571165","-105.15157","e"
"-102.94091","5.0710998","-192.05261","e"
"9.739968","11.024353","-141.37666","e"
"8.2448225","33.454247","21.602121","e"
"12.6549425","-2.744737","204.62695","e"
"135.63347","-58.34163","155.94597","e"
"285.65018","31.735458","-54.6445","e"
"245.41167","122.42466","-147.29921","e"
"75.93007","109.80526","-116.23771","e"
"13.318699","76.22486","-143.41054","e"
"37.868793","63.585327","-143.79517","e"
"-155.23415","73.503265","-5.8698134","e"
"-377.8716","22.643219","96.717155","e"
"-213.65974","-54.946503","159.43181","e"
"47.280895","-83.27227","173.23637","e"
"203.42924","-25.16142","54.502377","e"
"54.19873","-75.59806","79.20355","e"
"-153.19754","-36.709248","9.875203","e"
"-121.387634","22.332895","-84.55826","e"
"-71.6177","31.499817","-32.490734","e"
"-73.13663","50.11839","-58.901993","e"
"39.69698","72.26781","-109.39724","e"
"157.91164","72.9163","-20.313162","e"
"224.4911","13.725822","75.97246","e"
"212.55733","-8.826924","126.587975","e"
"44.396862","-57.27243","112.44558","e"
"-136.79518","-90.40198","41.501225","e"
"-222.42686","-74.497475","5.910065","e"
"-258.32816","-69.93299","65.529015","e"
"-204.7561","-40.963894","10.275771","e"
"-48.557755","7.0156846","-95.096306","e"
"79.86865","59.873753","-116.985374","e"
"120.339134","65.50837","-110.42123","e"
"90.67704","108.493225","-180.29926","e"
"-31.762802","175.27148","-169.71907","e"
"-79.38095","42.911163","99.035034","e"
"295.11722","0.012891372","151.44142","e"
"68.95324","32.68575","34.296585","e"
"-99.62858","49.61144","-95.07778","e"
"108.33541","70.03464","-212.63045","e"
"249.70526","21.154686","-34.454475","e"
"243.20435","49.492847","112.36905","e"
"186.39433","1.2811619","185.59416","e"
"32.700283","-86.04835","242.19666","e"
"69.27372","-89.03696","195.0268","e"
"399.79932","18.244093","-38.65238","e"
"294.58545","161.11513","-110.437805","e"
"-22.488619","122.41534","-181.21687","e"
"-209.99841","64.37917","-207.22023","e"
"-566.7675","-22.537249","-2.4427235","e"
"-613.69727","-42.240566","212.6169","e"
"-495.38037","40.852818","179.32709","e"
"-303.5961","23.775942","62.250134","e"
"-183.92967","2.6917553","64.900185","e"
"-58.099594","-75.17733","116.50415","e"
"48.930195","-115.53705","113.586266","e"
"172.93054","-96.481445","96.12908","e"
"53.931835","46.302795","-45.276844","e"
"75.57117","87.31159","-65.873375","e"
"139.59027","52.502483","-38.695667","e"
"38.333317","20.47111","-11.003929","f"
"34.79307","4.5811973","-8.352168","f"
"103.667694","25.525343","-12.027318","f"
"131.21652","50.975113","-7.1126723","f"
"104.80723","40.68828","4.0347266","f"
"22.28448","-13.010591","1.7328628","f"
"-62.81773","-21.365461","-6.1715293","f"
"-139.07204","-46.863125","-56.832397","f"
"-214.11409","-54.84843","-62.77515","f"
"-227.38757","-35.52869","14.179997","f"
"-143.1606","-25.577497","97.81506","f"
"-32.86619","-5.924866","140.2646","f"
"109.404335","1.8607124","76.26356","f"
"196.11487","29.986954","21.359306","f"
"226.4217","50.44154","-17.93647","f"
"231.14333","72.40953","-38.242554","f"
"193.50964","85.4855","-14.890735","f"
"140.05894","63.29742","-44.225277","f"
"61.714554","23.431662","-78.13554","f"
"-30.788605","-2.1524446","-62.740086","f"
"-164.66254","-45.152187","-56.475952","f"
"-236.09966","-57.512936","-46.888535","f"
"-227.51262","-41.587914","-14.820843","f"
"-136.5882","-20.547037","33.999416","f"
"122.220795","67.7701","-24.662127","f"
"232.3431","68.7478","4.949047","f"
"208.4472","32.70388","45.60916","f"
"112.05216","-61.451527","81.60778","f"
"38.316177","-81.78219","131.43993","f"
"-35.10646","-54.516876","104.919334","f"
"-160.31287","-69.05576","44.78883","f"
"-239.94499","-34.152214","10.991226","f"
"-247.58113","12.117824","-36.76769","f"
"-197.60146","13.546033","-70.57615","f"
"-86.298096","30.655836","-142.23645","f"
"44.943188","54.869396","-122.927795","f"
"146.54173","69.559074","-90.33497","f"
"224.23016","99.91044","-43.265823","f"
"281.05637","74.765205","13.678618","f"
"256.5012","2.344729","68.79725","f"
"95.2926","-50.522778","53.930054","f"
"-20.695337","-84.079216","72.83495","f"
"-117.096985","-59.94022","75.85156","f"
"-192.60504","-34.40387","23.507833","f"
"-223.0265","-32.649593","-59.426285","f"
"-201.02657","1.1845201","-87.71417","f"
"-185.33008","4.4103165","-82.25755","f"
"-69.58434","8.954735","-49.005024","f"
"116.61908","25.069252","-37.602436","f"
"181.93694","70.20348","14.625427","f"
"195.56616","71.16864","56.96495","f"
"202.98383","49.938877","62.744823","f"
